split,generation,individual,lstm_units,dense_units,dropout,learning_rate,batch_size,cv_mape
60:40,1,1,32,16,0.25,0.0005,16,27.583064526847124
60:40,1,2,16,32,0.1,0.0005,16,27.368844571489035
60:40,1,3,32,16,0.1,0.0005,32,27.31080645543193
60:40,1,4,16,16,0.1,0.0005,32,27.23243254096683
60:40,1,5,16,32,0.25,0.001,16,27.986149707543184
60:40,1,6,32,16,0.25,0.001,32,27.42996336917209
60:40,2,1,16,16,0.1,0.0005,32,27.493560607137727
60:40,2,2,32,16,0.1,0.0005,32,27.38978211387653
60:40,2,3,16,32,0.1,0.001,32,27.609379582157533
60:40,2,4,32,16,0.1,0.0005,16,27.696932918205658
60:40,2,5,32,16,0.25,0.0005,32,27.170291467432104
60:40,2,6,16,16,0.1,0.0005,32,27.130538017342154
60:40,3,1,16,16,0.1,0.0005,32,27.17095416404984
60:40,3,2,32,16,0.25,0.0005,32,27.343115328615806
60:40,3,3,16,16,0.1,0.0005,32,27.300060153939132
60:40,3,4,16,16,0.1,0.0005,32,27.1482888304236
60:40,3,5,16,16,0.1,0.0005,32,27.28333103787143
60:40,3,6,16,16,0.25,0.0005,16,27.627982948334306
70:30,1,1,32,16,0.25,0.0005,16,26.58971275894054
70:30,1,2,16,32,0.1,0.0005,16,26.565471216438123
70:30,1,3,32,16,0.1,0.0005,32,26.56100142362674
70:30,1,4,16,16,0.1,0.0005,32,26.456175275660524
70:30,1,5,16,32,0.25,0.001,16,26.688508796086
70:30,1,6,32,16,0.25,0.001,32,26.627550899717743
70:30,2,1,16,16,0.1,0.0005,32,26.310133302082875
70:30,2,2,32,16,0.1,0.0005,32,26.42512474274086
70:30,2,3,16,32,0.1,0.001,32,26.592733989915764
70:30,2,4,32,16,0.1,0.0005,16,26.64001274887538
70:30,2,5,32,16,0.25,0.0005,32,26.48478519203107
70:30,2,6,16,16,0.1,0.0005,32,26.480888026470165
70:30,3,1,16,16,0.1,0.0005,32,26.524255364383954
70:30,3,2,32,16,0.1,0.0005,32,26.566295527993056
70:30,3,3,32,16,0.1,0.0005,32,26.370934916690924
70:30,3,4,32,16,0.1,0.0005,32,26.445238566570822
70:30,3,5,16,16,0.1,0.0005,32,26.42023534519519
70:30,3,6,16,16,0.1,0.0005,16,26.529728142539028
80:20,1,1,32,16,0.25,0.0005,16,30.814875629499408
80:20,1,2,16,32,0.1,0.0005,16,30.761551591434916
80:20,1,3,32,16,0.1,0.0005,32,31.008286456090097
80:20,1,4,16,16,0.1,0.0005,32,30.771429074938872
80:20,1,5,16,32,0.25,0.001,16,30.771076541309903
80:20,1,6,32,16,0.25,0.001,32,31.010219731335514
80:20,2,1,16,32,0.1,0.0005,16,30.779882401711035
80:20,2,2,16,32,0.25,0.001,16,30.955929126778948
80:20,2,3,16,32,0.25,0.001,16,30.91525658520873
80:20,2,4,32,32,0.1,0.0005,16,30.920162655651268
80:20,2,5,16,32,0.25,0.001,16,30.871416213262176
80:20,2,6,16,32,0.1,0.0005,16,30.77410607201362
80:20,3,1,16,32,0.1,0.0005,16,30.927582269643313
80:20,3,2,16,32,0.1,0.0005,16,30.837178825481885
80:20,3,3,16,32,0.1,0.0005,16,30.705561947979486
80:20,3,4,16,32,0.1,0.0005,16,30.83684030101449
80:20,3,5,16,16,0.1,0.0005,32,30.812951443013922
80:20,3,6,16,32,0.25,0.001,16,30.960844193603613
90:10,1,1,32,16,0.25,0.0005,16,31.881939596994044
90:10,1,2,16,32,0.1,0.0005,16,31.987427252733163
90:10,1,3,32,16,0.1,0.0005,32,31.77964392694447
90:10,1,4,16,16,0.1,0.0005,32,31.94419000906793
90:10,1,5,16,32,0.25,0.001,16,32.145728073816024
90:10,1,6,32,16,0.25,0.001,32,31.9117865364166
90:10,2,1,32,16,0.1,0.0005,32,31.916827718677485
90:10,2,2,32,16,0.25,0.0005,16,32.098876775621726
90:10,2,3,16,16,0.25,0.001,16,31.90280945837598
90:10,2,4,32,16,0.1,0.001,32,32.261250511839584
90:10,2,5,32,16,0.25,0.0005,32,31.898580014520945
90:10,2,6,16,16,0.1,0.0005,16,31.918144935496333
90:10,3,1,32,16,0.25,0.0005,32,31.9190179991557
90:10,3,2,16,16,0.25,0.001,16,31.890443499652985
90:10,3,3,16,16,0.1,0.0005,16,31.94863535086417
90:10,3,4,16,16,0.1,0.0005,16,31.82496833525359
90:10,3,5,16,16,0.1,0.0005,32,31.799873109950983
90:10,3,6,16,16,0.25,0.0005,16,31.736249740765732
